DATE,MCOILBRENTEU,cpi,Deflated
01-01-88,16.75,48.8150639,34.31317848
01-02-88,15.73,48.9416371,32.1403225
01-03-88,14.73,49.15259243,29.96790052
01-04-88,16.6,49.40573883,33.59933561
01-05-88,16.31,49.57450309,32.89997677
01-06-88,15.54,49.78545843,31.21393373
01-07-88,14.91,49.99641376,29.82213899
01-08-88,14.89,50.20736909,29.65700109
01-09-88,13.18,50.54489762,26.07582688
01-10-88,12.41,50.71366189,24.47072354
01-11-88,13.02,50.75585296,25.65221397
01-12-88,15.31,50.84023509,30.11394415
01-01-89,17.17,51.09338149,33.60513534
01-02-89,16.89,51.30433682,32.9211935
01-03-89,18.7,51.59967428,36.24053884
01-04-89,20.32,51.93720282,39.12417092
01-05-89,18.63,52.23254028,35.66742092
01-06-89,17.67,52.35911348,33.74770661
01-07-89,17.62,52.48568668,33.5710574
01-08-89,16.77,52.57006881,31.90028162
01-09-89,17.77,52.73883308,33.69433672
01-10-89,18.91,52.99197948,35.68464546
01-11-89,18.73,53.11855268,35.26074988
01-12-89,19.84,53.20293481,37.29117589
01-01-90,21.25,53.75141867,39.53384027
01-02-90,19.81,54.00456507,36.68208414
01-03-90,18.39,54.29990254,33.8674641
01-04-90,16.61,54.38428467,30.54191133
01-05-90,16.35,54.51085787,29.99402438
01-06-90,15.1,54.80619534,27.55162972
01-07-90,17.17,55.01715067,31.20845008
01-08-90,27.17,55.52344347,48.93428488
01-09-90,34.9,55.9875452,62.33529239
01-10-90,36.02,56.32507373,63.95020479
01-11-90,33.07,56.45164693,58.58110755
01-12-90,28.27,56.45164693,50.07825553
01-01-91,23.57,56.78917546,41.50438848
01-02-91,19.54,56.87355759,34.35691528
01-03-91,19.08,56.95793973,33.49840267
01-04-91,19.18,57.04232186,33.62415725
01-05-91,19.19,57.21108612,33.54245007
01-06-91,18.17,57.37985039,31.66616831
01-07-91,19.4,57.46423252,33.76013069
01-08-91,19.77,57.63299679,34.30326567
01-09-91,20.5,57.88614319,35.41434767
01-10-91,22.21,57.97052532,38.31257329
01-11-91,21.11,58.13928959,36.30935319
01-12-91,18.41,58.18148065,31.64237107
01-01-92,18.16,58.26586279,31.16747806
01-02-92,18.05,58.47681812,30.86693254
01-03-92,17.63,58.77215558,29.99719821
01-04-92,18.92,58.85653772,32.14596158
01-05-92,19.89,58.94091985,33.74565591
01-06-92,21.16,59.15187518,35.77232325
01-07-92,20.24,59.27844838,34.14394363
01-08-92,19.74,59.44721265,33.20593031
01-09-92,20.27,59.61597691,34.00095251
01-10-92,20.26,59.82693225,33.86434711
01-11-92,19.21,59.91131438,32.06406035
01-12-92,18.14,59.86912331,30.29942481
01-01-93,17.39,60.16446078,28.9041068
01-02-93,18.47,60.37541611,30.59192166
01-03-93,18.79,60.58637144,31.01357542
01-04-93,18.67,60.75513571,30.72991243
01-05-93,18.51,60.83951784,30.42430423
01-06-93,17.65,60.92389997,28.97056821
01-07-93,16.78,60.92389997,27.5425572
01-08-93,16.7,61.09266424,27.33552417
01-09-93,16.01,61.21923744,26.1519102
01-10-93,16.61,61.47238384,27.02026335
01-11-93,15.2,61.5145749,24.70959122
01-12-93,13.73,61.5145749,22.31991365
01-01-94,14.29,61.68333917,23.16670951
01-02-94,13.8,61.8942945,22.29607771
01-03-94,13.82,62.10524983,22.25254715
01-04-94,15.23,62.18963197,24.48961269
01-05-94,16.19,62.23182303,26.01562868
01-06-94,16.76,62.44277837,26.84057378
01-07-94,17.6,62.61154263,28.10983288
01-08-94,16.89,62.86468903,26.86722906
01-09-94,15.9,63.0334533,25.2247008
01-10-94,16.49,63.07564436,26.14321291
01-11-94,17.19,63.1600265,27.21658136
01-12-94,15.93,63.1600265,25.2216487
01-01-95,16.55,63.41317289,26.09867831
01-02-95,17.11,63.66631929,26.87449218
01-03-95,17.01,63.87727463,26.62918871
01-04-95,18.65,64.08822996,29.10050724
01-05-95,18.35,64.21480316,28.57596551
01-06-95,17.31,64.34137636,26.90337226
01-07-95,15.85,64.34137636,24.6342259
01-08-95,16.1,64.51014062,24.95731655
01-09-95,16.7,64.63671382,25.83670953
01-10-95,16.11,64.84766915,24.84283585
01-11-95,16.86,64.80547809,26.01631914
01-12-95,17.93,64.76328702,27.6854385
01-01-96,17.85,65.14300662,27.40125291
01-02-96,18,65.35396195,27.54232408
01-03-96,19.85,65.69149048,30.21700353
01-04-96,20.9,65.94463688,31.69325208
01-05-96,19.15,66.07121008,28.98387963
01-06-96,18.46,66.11340115,27.92172189
01-07-96,19.57,66.23997435,29.54409357
01-08-96,20.51,66.36654755,30.90412378
01-09-96,22.63,66.57750288,33.99046077
01-10-96,24.16,66.78845821,36.17391485
01-11-96,22.76,66.91503141,34.01328449
01-12-96,23.78,66.91503141,35.53760567
01-01-97,23.54,67.12598674,35.0683858
01-02-97,20.85,67.33694208,30.96368703
01-03-97,19.13,67.50570634,28.33834506
01-04-97,17.56,67.59008847,25.98014057
01-05-97,19.02,67.54789741,28.15779725
01-06-97,17.58,67.63227954,25.99350505
01-07-97,18.46,67.71666167,27.26064685
01-08-97,18.6,67.84323487,27.41614552
01-09-97,18.46,68.01199914,27.14226935
01-10-97,19.87,68.18076341,29.14311751
01-11-97,19.17,68.13857234,28.13384452
01-12-97,17.18,68.05419021,25.2445881
01-01-98,15.19,68.18076341,22.27901132
01-02-98,14.07,68.3073366,20.59808023
01-03-98,13.1,68.4339098,19.14255672
01-04-98,13.53,68.560483,19.73440006
01-05-98,14.36,68.6870562,20.90641351
01-06-98,12.21,68.77143834,17.75446362
01-07-98,12.08,68.85582047,17.54390539
01-08-98,11.91,68.9402026,17.27584131
01-09-98,13.34,69.02458473,19.32644731
01-10-98,12.7,69.193349,18.35436524
01-11-98,11.04,69.193349,15.95529073
01-12-98,9.82,69.15115793,14.2007745
01-01-99,11.11,69.3199222,16.02713859
01-02-99,10.27,69.40430433,14.79735313
